"File","Line","Printed","Calculated","Result"
"XOR","10","HR","HR","MATCH"
"XOR","20","GP","GP","MATCH"
"XOR","30","QQ","QQ","MATCH"
"XOR","40","PC","PC","MATCH"
"XOR","50","SD","SD","MATCH"
"XOR","60","CJ","CJ","MATCH"
"XOR","70","QQ","QQ","MATCH"
"XOR","80","ER","ER","MATCH"
"XOR","90","FC","FC","MATCH"
"XOR","100","DQ","DQ","MATCH"
"XOR","110","KS","KS","MATCH"
"XOR","120","KD","KD","MATCH"
"XOR","130","BX","BX","MATCH"
"XOR","140","GK","GK","MATCH"
"XOR","150","CS","CS","MATCH"
"XOR","160","KG","KG","MATCH"
"XOR","170","XG","XG","MATCH"
"XOR","180","HE","HE","MATCH"
"XOR","190","KH","KH","MATCH"
"XOR","200","JJ","JJ","MATCH"
"XOR","210","MF","MF","MATCH"
"XOR","220","JG","JG","MATCH"
"XOR","230","DM","DM","MATCH"
"XOR","240","BJ","BJ","MATCH"
"XOR","250","QE","QE","MATCH"
"XOR","260","BX","BX","MATCH"
"XOR","270","DP","DP","MATCH"
"XOR","280","AK","AK","MATCH"
"ENCODE","10","HR","HR","MATCH"
"ENCODE","20","GP","GP","MATCH"
"ENCODE","30","QQ","QQ","MATCH"
"ENCODE","40","CM","CM","MATCH"
"ENCODE","50","GQ","GQ","MATCH"
"ENCODE","60","DX","DX","MATCH"
"ENCODE","70","MR","MR","MATCH"
"ENCODE","80","FQ","FQ","MATCH"
"ENCODE","90","DF","DF","MATCH"
"ENCODE","100","DQ","DQ","MATCH"
"ENCODE","110","KS","KS","MATCH"
"ENCODE","120","KD","KD","MATCH"
"ENCODE","130","BX","BX","MATCH"
"ENCODE","140","GK","GK","MATCH"
"ENCODE","150","JJ","JJ","MATCH"
"ENCODE","160","RF","RF","MATCH"
"ENCODE","170","SK","SK","MATCH"
"ENCODE","180","AC","AC","MATCH"
"ENCODE","190","CC","CC","MATCH"
"ENCODE","200","DC","DC","MATCH"
"ENCODE","210","HB","HB","MATCH"
"ENCODE","220","QD","QD","MATCH"
"ENCODE","230","PG","PG","MATCH"
"ENCODE","240","MB","MB","MATCH"
"ENCODE","250","MS","MS","MATCH"
"ENCODE","260","PG","PG","MATCH"
"ENCODE","270","XE","XE","MATCH"
"ENCODE","280","EH","EH","MATCH"
"ENCODE","290","DM","DM","MATCH"
"ENCODE","300","QE","QE","MATCH"
"ENCODE","310","CP","CP","MATCH"
"ENCODE","320","GM","GM","MATCH"
"ENCODE","330","JK","JK","MATCH"
"ENCODE","340","XP","XP","MATCH"
"ENCODE","350","GR","GR","MATCH"
"ENCODE","360","FK","FK","MATCH"
"ENCODE","370","JG","JG","MATCH"
"ENCODE","380","SS","SS","MATCH"
"ENCODE","390","AR","AR","MATCH"
"ENCODE","400","CS","CS","MATCH"
"ENCODE","410","SB","SB","MATCH"
"DIPOLE","10","HR","HR","MATCH"
"DIPOLE","20","GP","GP","MATCH"
"DIPOLE","30","MM","MM","MATCH"
"DIPOLE","40","PC","PC","MATCH"
"DIPOLE","50","PA","PA","MATCH"
"DIPOLE","60","RR","RR","MATCH"
"DIPOLE","70","RQ","RQ","MATCH"
"DIPOLE","80","KB","KB","MATCH"
"DIPOLE","90","AA","AA","MATCH"
"DIPOLE","100","PP","PP","MATCH"
"DIPOLE","110","GK","GK","MATCH"
"DIPOLE","120","EH","EH","MATCH"
"DIPOLE","130","XE","XE","MATCH"
"DIPOLE","140","QC","QC","MATCH"
"DIPOLE","150","HA","HA","MATCH"
"DIPOLE","160","MB","MB","MATCH"
"DIPOLE","170","CF","CF","MATCH"
"DIPOLE","180","SD","SD","MATCH"
"DIPOLE","190","MB","MB","MATCH"
"DIPOLE","200","ED","ED","MATCH"
"DIPOLE","210","AB","AB","MATCH"
"DIPOLE","220","QX","QX","MATCH"
"DIPOLE","230","JR","JR","MATCH"
"DIPOLE","240","EM","EM","MATCH"
"DIPOLE","250","AJ","AJ","MATCH"
"DIPOLE","260","RG","RG","MATCH"
"DIPOLE","270","KQ","KQ","MATCH"
"DIPOLE","280","FR","FR","MATCH"
"DIPOLE","290","BP","BP","MATCH"
"DIPOLE","300","SJ","SJ","MATCH"
"DIPOLE","310","PG","PG","MATCH"
"DIPOLE","320","PA","PA","MATCH"
"DIPOLE","330","FR","FR","MATCH"
"DIPOLE","340","KF","KF","MATCH"
"DIPOLE","350","MC","MC","MATCH"
"DIPOLE","360","AE","AE","MATCH"
"DIPOLE","370","JJ","JJ","MATCH"
"DIPOLE","380","XB","XB","MATCH"
"DIPOLE","390","DG","DG","MATCH"
"DIPOLE","400","SR","SR","MATCH"
"DIPOLE","410","DG","DG","MATCH"
"DIPOLE","420","HR","HR","MATCH"
"DIPOLE","430","MA","MA","MATCH"
"DIPOLE","440","KE","KE","MATCH"
"DIPOLE","450","DF","DF","MATCH"
"DIPOLE","460","FD","FD","MATCH"
"DIPOLE","470","FR","FR","MATCH"
"DIPOLE","480","MG","MG","MATCH"
"DIPOLE","490","HQ","HQ","MATCH"
"DIPOLE","500","XB","XB","MATCH"
"DIPOLE","510","CM","CM","MATCH"
"DIPOLE","520","FR","FR","MATCH"
"DIPOLE","530","GF","GF","MATCH"
"DIPOLE","540","EX","EX","MATCH"
"DIPOLE","550","RG","RG","MATCH"
"DIPOLE","560","BJ","BJ","MATCH"
"DIPOLE","570","AX","AX","MATCH"
"DIPOLE","580","QR","QR","MATCH"
"DIPOLE","590","SQ","SQ","MATCH"
"DIPOLE","600","AE","AE","MATCH"
"DIPOLE","610","DP","DP","MATCH"
"DIPOLE","620","XQ","XQ","MATCH"
